Frekvens;Kanal A;Kanal B
(ms);(V);(mV)

0,00000000;7,30345700;66,37857000
0,00040000;7,30345700;66,37857000
0,00080000;7,30345700;66,37857000
0,00120000;7,30345700;66,37857000
0,00160000;7,30345700;66,37857000
0,00200000;7,30345700;66,37857000
0,00240000;7,30345700;66,37857000
0,00280000;7,30345700;66,37857000
0,00320000;7,30345700;66,37857000
0,00360000;7,30345700;66,37857000
0,00400000;7,30345700;66,37857000
0,00440000;7,30345700;66,37857000
0,00480000;7,30345700;66,37857000
0,00520000;7,30345700;66,37857000
0,00560000;7,30345700;66,37857000
0,00600000;7,30345700;66,37857000
0,00640000;7,30345700;66,37857000
0,00680000;7,30345700;66,37857000
0,00720000;7,30345700;66,37857000
0,00760000;7,30345700;66,37857000
0,00800000;7,30345700;66,37857000
0,00840000;7,30345700;66,37857000
0,00880000;7,30345700;66,37857000
0,00920000;7,30345700;66,37857000
0,00960000;7,30345700;66,37857000
0,01000000;7,30345700;66,37857000
0,01040000;7,30345700;66,37857000
0,01080000;7,30345700;66,37857000
0,01120000;7,30345700;66,37857000
0,01160000;7,30345700;66,37857000
0,01200000;7,30345700;66,37857000
0,01240000;7,30345700;66,37857000
0,01280000;7,30345700;66,37857000
0,01320000;7,30345700;66,37857000
0,01360000;7,30345700;66,37857000
0,01400000;7,30345700;66,37857000
0,01440000;7,30345700;66,37857000
0,01480000;7,30345700;66,37857000
0,01520000;7,30345700;66,37857000
0,01560000;7,30345700;66,37857000
0,01600000;7,30345700;66,37857000
0,01640000;7,30345700;66,37857000
0,01680000;7,30345700;66,37857000
0,01720000;7,30345700;66,37857000
0,01760000;7,30345700;66,37857000
0,01800000;7,30345700;66,37857000
0,01840000;7,30345700;66,37857000
0,01880000;7,30345700;66,37857000
0,01920000;7,30345700;66,37857000
0,01960000;7,30345700;66,37857000
0,02000000;7,30345700;66,37857000
0,02040000;7,30345700;66,37857000
0,02080000;7,30345700;66,37857000
0,02120000;7,30345700;66,37857000
0,02160000;7,30345700;66,37857000
0,02200000;7,30345700;66,37857000
0,02240000;7,30345700;66,37857000
0,02280000;7,30345700;66,37857000
0,02320000;7,30345700;66,37857000
0,02360000;7,30345700;66,37857000
0,02400000;7,30345700;66,37857000
0,02440000;7,30345700;66,37857000
0,02480000;7,30345700;66,37857000
0,02520000;7,30345700;66,37857000
0,02560000;7,30345700;66,37857000
0,02600000;7,30345700;66,37857000
0,02640000;7,30345700;66,37857000
0,02680000;7,30345700;66,37857000
0,02720000;7,30345700;66,37857000
0,02760000;7,30345700;66,37857000
0,02800000;7,30345700;66,37857000
0,02840000;7,30345700;66,37857000
0,02880000;7,30345700;66,37857000
0,02920000;7,30345700;66,37857000
0,02960000;7,30345700;66,37857000
0,03000000;7,30345700;66,37857000
0,03040000;7,30345700;66,37857000
0,03080000;7,30345700;66,37857000
0,03120000;7,30345700;66,37857000
0,03160000;7,30345700;66,37857000
0,03200000;7,30345700;66,37857000
0,03240000;7,30345700;66,37857000
0,03280000;7,30345700;66,37857000
0,03320000;7,30345700;66,37857000
0,03360000;7,30345700;66,37857000
0,03400000;7,30345700;66,37857000
0,03440000;7,30345700;66,37857000
0,03480000;7,30345700;66,37857000
0,03520000;7,30345700;66,37857000
0,03560000;7,21549000;66,37857000
0,03600000;7,30345700;66,37857000
0,03640000;7,30345700;66,37857000
0,03680000;7,30345700;66,37857000
0,03720000;7,30345700;66,37857000
0,03760000;7,30345700;66,37857000
0,03800000;7,30345700;66,37857000
0,03840000;7,30345700;66,37857000
0,03880000;7,30345700;66,37857000
0,03920000;7,30345700;66,37857000
0,03960000;7,30345700;66,37857000
0,04000000;7,30345700;66,37857000
0,04040000;7,30345700;66,37857000
0,04080000;7,30345700;66,37857000
0,04120000;7,30345700;66,37857000
0,04160000;7,30345700;66,37857000
0,04200000;7,30345700;66,37857000
0,04240000;7,30345700;66,37857000
0,04280000;7,30345700;66,37857000
0,04320000;7,30345700;66,37857000
0,04360000;7,30345700;66,37857000
0,04400000;7,30345700;66,37857000
0,04440000;7,30345700;66,37857000
0,04480000;7,30345700;66,37857000
0,04520000;7,30345700;66,37857000
0,04560000;7,30345700;66,37857000
0,04600000;7,30345700;66,37857000
0,04640000;7,30345700;66,37857000
0,04680000;7,30345700;66,37857000
0,04720000;7,21549000;66,37857000
0,04760000;7,30345700;66,37857000
0,04800000;7,21549000;66,37857000
0,04840000;7,30345700;66,37857000
0,04880000;7,30345700;66,37857000
0,04920000;7,30345700;66,37857000
0,04960000;7,30345700;66,37857000
0,05000000;7,21549000;66,37857000
0,05040000;7,30345700;66,37857000
0,05080000;7,21549000;66,37857000
0,05120000;7,30345700;66,37857000
0,05160000;7,30345700;66,37857000
0,05200000;7,30345700;66,37857000
0,05240000;7,30345700;66,37857000
0,05280000;7,30345700;66,37857000
0,05320000;7,30345700;66,37857000
0,05360000;7,30345700;66,37857000
0,05400000;7,21549000;66,37857000
0,05440000;7,30345700;66,37857000
0,05480000;7,30345700;66,37857000
0,05520000;7,30345700;66,37857000
0,05560000;7,30345700;66,37857000
0,05600000;7,30345700;66,37857000
0,05640000;7,30345700;66,37857000
0,05680000;7,21549000;66,37857000
0,05720000;7,30345700;66,37857000
0,05760000;7,30345700;66,37857000
0,05800000;7,30345700;66,37857000
0,05840000;7,30345700;66,37857000
0,05880000;7,30345700;66,37857000
0,05920000;7,30345700;66,37857000
0,05960000;7,21549000;66,37857000
0,06000000;7,30345700;66,37857000
0,06040000;7,30345700;66,37857000
0,06080000;7,21549000;66,37857000
0,06120000;7,30345700;66,37857000
0,06160000;7,30345700;66,37857000
0,06200000;7,21549000;66,37857000
0,06240000;7,30345700;66,37857000
0,06280000;7,30345700;66,37857000
0,06320000;7,30345700;66,37857000
0,06360000;7,21549000;66,37857000
0,06400000;7,30345700;66,37857000
0,06440000;7,30345700;66,37857000
0,06480000;7,30345700;66,37857000
0,06520000;7,30345700;66,37857000
0,06560000;7,21549000;66,37857000
0,06600000;7,21549000;66,37857000
0,06640000;7,30345700;66,37857000
0,06680000;7,30345700;66,37857000
0,06720000;7,30345700;66,37857000
0,06760000;7,30345700;66,37857000
0,06800000;7,30345700;66,37857000
0,06840000;7,30345700;66,37857000
0,06880000;7,21549000;66,37857000
0,06920000;7,30345700;66,37857000
0,06960000;7,21549000;66,37857000
0,07000000;7,30345700;66,37857000
0,07040000;7,21549000;66,37857000
0,07080000;7,21549000;66,37857000
0,07120000;7,30345700;66,37857000
0,07160000;7,30345700;66,37857000
0,07200000;7,21549000;66,37857000
0,07240000;7,30345700;66,37857000
0,07280000;7,21549000;66,37857000
0,07320000;7,30345700;66,37857000
0,07360000;7,30345700;66,37857000
0,07400000;7,21549000;66,37857000
0,07440000;7,21549000;66,37857000
0,07480000;7,21549000;66,37857000
0,07520000;7,21549000;66,37857000
0,07560000;7,21549000;66,37857000
0,07600000;7,21549000;66,37857000
0,07640000;7,21549000;66,37857000
0,07680000;7,21549000;66,37857000
0,07720000;7,21549000;66,37857000
0,07760000;7,30345700;66,37857000
0,07800000;7,30345700;66,37857000
0,07840000;7,30345700;66,37857000
0,07880000;7,30345700;66,37857000
0,07920000;7,21549000;66,37857000
0,07960000;7,21549000;66,37857000
0,08000000;7,30345700;66,37857000
0,08040000;7,21549000;66,37857000
0,08080000;7,30345700;66,37857000
0,08120000;7,30345700;66,37857000
0,08160000;7,21549000;66,37857000
0,08200000;7,21549000;65,51427000
0,08240000;7,21549000;66,37857000
0,08280000;7,30345700;66,37857000
0,08320000;7,21549000;66,37857000
0,08360000;7,21549000;66,37857000
0,08400000;7,21549000;66,37857000
0,08439999;7,21549000;66,37857000
